Name,Region,Region:Regional Alentejo,Region:DOC Douro,Region:DOC Alentejo,Region:Regional Península de Setúbal,Region:Espanha,Year,Color,Color:Red,Color:White,Color:Rosé,Castes,AlcoholPercentage,Producer,Producer:Esporão S.A.,"Producer:José Maria da Fonseca Vinhos, S.A.","Producer:João Portugal Ramos - Vinhos, SA",Producer:Ramos Pinto,MinimunPrice,MaximumPrice,Average Price,Average Price in Dollars,Judge,Judge:Domingos Soares Franco,Judge:João Portugal Ramos,Judge:João Nicolau de Almeida,Judge:David Baverstock e Sandra Alves,Judge:David Baverstock e Luís Patrão,JudgeRating
José Maria da Fonseca Garrafeira RA 1985,Regional Península de Setúbal,0,0,0,1,0,1985,Red,1,0,0,"Castelão Francês, Espadeiro e Bastardo",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,15.5
Marquês de Borba 2006,DOC Alentejo,0,0,1,0,0,2006,Red,1,0,0,"Aragonês, Trincadeira e outras",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2007,DOC Alentejo,0,0,1,0,0,2007,Red,1,0,0,"Aragonês, Trincadeira, Alicante Bouschet e Cabernet Sauvignon",13.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2008,DOC Alentejo,0,0,1,0,0,2008,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",13,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2009,DOC Alentejo,0,0,1,0,0,2009,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2011,DOC Alentejo,0,0,1,0,0,2011,White,0,1,0,"Arinto, Antão Vaz, Verdelho e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2012,DOC Alentejo,0,0,1,0,0,2012,White,0,1,0,"Arinto, Antão Vaz, Verdelho e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2014,DOC Alentejo,0,0,1,0,0,2014,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2015,DOC Alentejo,0,0,1,0,0,2015,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2016,DOC Alentejo,0,0,1,0,0,2016,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba 2017,DOC Alentejo,0,0,1,0,0,2017,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
Marquês de Borba Colheita 2017,DOC Alentejo,0,0,1,0,0,2017,Red,1,0,0,"Alicante Bouschet, Aragonez, Touriga Nacional, Petit Verdot e Merlot",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15.5
BSE 2014,Regional Península de Setúbal,0,0,0,1,0,2014,White,0,1,0,"Antão Vaz, Arinto e Fernão Pires",12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,15
BSE 2015,Regional Península de Setúbal,0,0,0,1,0,2015,White,0,1,0,"Antão Vaz, Arinto e Fernão Pires",12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,15
Defesa do Esporão 2015,Regional Alentejo,1,0,0,0,0,2015,Rosé,0,0,1,Syrah e Aragonês,13.5,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Sandra Alves,0,0,0,1,0,15
Defesa do Esporão 2015,Regional Alentejo,1,0,0,0,0,2015,White,0,1,0,"Antão Vaz, Arinto e Roupeiro",13.5,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Sandra Alves,0,0,0,1,0,15
Domingos Soares Franco Colecção Privada Moscatel Roxo 2013,Regional Península de Setúbal,0,0,0,1,0,2013,Rosé,0,0,1,Moscatel Roxo,12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15
João Portugal Ramos Antão Vaz 2005,Regional Alentejo,1,0,0,0,0,2005,White,0,1,0,Antão Vaz,13,"João Portugal Ramos - Vinhos, SA",0,0,1,0,7.5,10,8.75,10.2375,João Portugal Ramos,0,1,0,0,0,15
José de Sousa 2002,Regional Alentejo,1,0,0,0,0,2002,Red,1,0,0,"Trincadeira, Aragonês e Grand Noir",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,15
Loios 2011,Regional Alentejo,1,0,0,0,0,2011,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,15
Loios 2011,Regional Alentejo,1,0,0,0,0,2011,Red,1,0,0,"Aragonez, Trincadeira e Outras",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,15
Loios 2013,Regional Alentejo,1,0,0,0,0,2013,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,15
Loios 2016,Regional Alentejo,1,0,0,0,0,2016,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba 2001,DOC Alentejo,0,0,1,0,0,2001,Red,1,0,0,"Aragonês, Trincadeira e outras",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba 2004,DOC Alentejo,0,0,1,0,0,2004,Red,1,0,0,"Aragonez, Trincadeira e Outras",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba 2005,DOC Alentejo,0,0,1,0,0,2005,White,0,1,0,"Arinto, Roupeiro e Rabo de Ovelha",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba 2009,DOC Alentejo,0,0,1,0,0,2009,Red,1,0,0,"Aragonês, Trincadeira, Alicante Bouschet e Cabernet Sauvignon",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba 2013,DOC Alentejo,0,0,1,0,0,2013,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Marquês de Borba Colheita 2018,DOC Alentejo,0,0,1,0,0,2018,White,0,1,0,"Arinto, Antão Vaz e Viognier",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,15
Monte Velho 2013,Regional Alentejo,1,0,0,0,0,2013,White,0,1,0,"Roupeiro, Antão Vaz e Perrum",13.5,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Sandra Alves,0,0,0,1,0,15
Monte Velho 2015,Regional Alentejo,1,0,0,0,0,2015,White,0,1,0,"Antão Vaz, Roupeiro e Perrum",13.5,Esporão S.A.,1,0,0,0,2,4,3,3.51,David Baverstock e Sandra Alves,0,0,0,1,0,15
Monte Velho 2016,Regional Alentejo,1,0,0,0,0,2016,Red,1,0,0,"Aragonez, Trincadeira, Touriga Nacional e Syrah",13,Esporão S.A.,1,0,0,0,4,7.4,5.7,6.669,David Baverstock e Sandra Alves,0,0,0,1,0,15
BSE 2012,Regional Península de Setúbal,0,0,0,1,0,2012,White,0,1,0,"Antão Vaz, Arinto e Fernão Pires",12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,14.5
BSE 2013,Regional Península de Setúbal,0,0,0,1,0,2013,White,0,1,0,"Antão Vaz, Arinto e Fernão Pires",12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,14.5
BSE 2016,Regional Península de Setúbal,0,0,0,1,0,2016,White,0,1,0,"Antão Vaz, Arinto e Fernão Pires",12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,14.5
José de Sousa 2003,Regional Alentejo,1,0,0,0,0,2003,Red,1,0,0,"Trincadeira, Aragonez e Grand Noir",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,14.5
Lancers 2005,Regional Península de Setúbal,0,0,0,1,0,2005,Rosé,0,0,1,várias,10,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,14.5
Loios 2009,Regional Alentejo,1,0,0,0,0,2009,White,0,1,0,Roupeiro e Rabo de Ovelha,12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,14.5
Montado 2013,Regional Alentejo,1,0,0,0,0,2013,White,0,1,0,"Alva, Tamarez e Rabo de Ovelha",12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,14.5
Monte Velho 2013,Regional Alentejo,1,0,0,0,0,2013,Red,1,0,0,"Aragonez, Trincadeira, Touriga Nacional e Syrah",13.5,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Luís Patrão,0,0,0,0,1,14.5
Monte Velho 2014,Regional Alentejo,1,0,0,0,0,2014,White,0,1,0,"Antão Vaz, Roupeiro e Perrum",13.5,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Sandra Alves,0,0,0,1,0,14.5
Avis Rara Doce 2016,Regional Península de Setúbal,0,0,0,1,0,2016,White,0,1,0,Moscatel e Fernão Pires,11,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,14
Loios 2004,Regional Alentejo,1,0,0,0,0,2004,Red,1,0,0,"Aragonês, Trincadeira, Castelão e outras",13.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,14
Loios 2005,Regional Alentejo,1,0,0,0,0,2005,Red,1,0,0,"Aragonês, Trincadeira e Castelão",13.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,2,4,3,3.51,João Portugal Ramos,0,1,0,0,0,14
Domini 2002,DOC Douro,0,1,0,0,0,2002,Red,1,0,0,"Touriga Franca, Touriga Nacional e Tinta Roriz",12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,13.5
João Pires 2012,Regional Península de Setúbal,0,0,0,1,0,2012,White,0,1,0,Moscatel Graúdo,11.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,13.5
João Pires 2013,Regional Península de Setúbal,0,0,0,1,0,2013,White,0,1,0,Moscatel Graúdo,11.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,13.5
Montado 2004,Regional Alentejo,1,0,0,0,0,2004,Red,1,0,0,"Trincadeira, Aragonês e Castelão",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,2,4,3,3.51,Domingos Soares Franco,1,0,0,0,0,13
Domingos Soares Franco Colecção Privada Aragonez 1999,Regional Península de Setúbal,0,0,0,1,0,1999,Red,1,0,0,Aragonez,12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,12.5
