Name,Region,Region:Regional Alentejo,Region:DOC Douro,Region:DOC Alentejo,Region:Regional Península de Setúbal,Region:Espanha,Year,Color,Color:Red,Color:White,Color:Rosé,Castes,AlcoholPercentage,Producer,Producer:Esporão S.A.,"Producer:José Maria da Fonseca Vinhos, S.A.","Producer:João Portugal Ramos - Vinhos, SA",Producer:Ramos Pinto,MinimunPrice,MaximumPrice,Average Price,Average Price in Dollars,Judge,Judge:Domingos Soares Franco,Judge:João Portugal Ramos,Judge:João Nicolau de Almeida,Judge:David Baverstock e Sandra Alves,Judge:David Baverstock e Luís Patrão,JudgeRating
Domingos Soares Franco Colecção Privada Syrah 2004,Regional Península de Setúbal,0,0,0,1,0,2004,Red,1,0,0,Syrah,14,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,12.5,15,13.75,16.0875,Domingos Soares Franco,1,0,0,0,0,16
Domingos Soares Franco Colecção Privada Verdelho 2014,Regional Península de Setúbal,0,0,0,1,0,2014,White,0,1,0,Verdelho,13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,16
Duas Quintas 2003,DOC Douro,0,1,0,0,0,2003,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",13,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2006,DOC Douro,0,1,0,0,0,2006,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",14,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2009,DOC Douro,0,1,0,0,0,2009,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",14,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2012,DOC Douro,0,1,0,0,0,2012,Red,1,0,0,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta da Barca, Tinta Barroca, Sousão, Tinto Cão e Tinta Amarela",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2013,DOC Douro,0,1,0,0,0,2013,Red,1,0,0,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta da Barca, Tinta Barroca, Sousão, Tinto Cão e Tinta Amarela",14,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2013,DOC Douro,0,1,0,0,0,2013,White,0,1,0,"Rabigato, Viosinho e Arinto",13,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2014,DOC Douro,0,1,0,0,0,2014,White,0,1,0,"Rabigato, Viosinho e Arinto",13,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas 2015,DOC Douro,0,1,0,0,0,2015,White,0,1,0,"Rabigato, Viosinho e Arinto",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas Celebração Quinta da Ervamoira 2004,DOC Douro,0,1,0,0,0,2004,Red,1,0,0,"Touriga Franca, Tinta Barroca, Tinta Roriz e Touriga Nacional",13.5,Ramos Pinto,0,0,0,1,12.5,15,13.75,16.0875,João Nicolau de Almeida,0,0,1,0,0,16
Duas Quintas Reserva 2010,DOC Douro,0,1,0,0,0,2010,White,0,1,0,"Rabigato, Arinto, Viosinho e Folgasão",13,Ramos Pinto,0,0,0,1,15,20,17.5,20.475,João Nicolau de Almeida,0,0,1,0,0,16
Esporão 2 Castas 2007,Regional Alentejo,1,0,0,0,0,2007,White,0,1,0,Antão Vaz e Arinto,13.5,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão 2 Castas 2009,Regional Alentejo,1,0,0,0,0,2009,White,0,1,0,Verdelho e Viosinho,14,Esporão S.A.,1,0,0,0,4,7.5,5.75,6.7275,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão 2 Castas 2011,Regional Alentejo,1,0,0,0,0,2011,White,0,1,0,Semillon e Viosinho,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão 2 Castas 2014,Regional Alentejo,1,0,0,0,0,2014,White,0,1,0,Arinto e Gouveio,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão 2 Castas 2017,Regional Alentejo,1,0,0,0,0,2017,White,0,1,0,Viosinho e Alvarinho,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão 4 Castas 2010,Regional Alentejo,1,0,0,0,0,2010,Red,1,0,0,"Aragonez, Tinta Miúda, Tinta Caiada e Alfrocheiro",14.5,Esporão S.A.,1,0,0,0,10,12.5,11.25,13.1625,David Baverstock e Luís Patrão,0,0,0,0,1,16
Esporão 4 Castas 2011,Regional Alentejo,1,0,0,0,0,2011,Red,1,0,0,"Aragonez, Syrah, Alicante Bouschet e Petit Verdot",14.5,Esporão S.A.,1,0,0,0,10,12.5,11.25,13.1625,David Baverstock e Luís Patrão,0,0,0,0,1,16
Esporão Reserva 2010,DOC Alentejo,0,0,1,0,0,2010,Red,1,0,0,"Aragonês, Trincadeira, Cabernet Sauvignon e Alicante Bouschet",14.5,Esporão S.A.,1,0,0,0,15,20,17.5,20.475,David Baverstock e Luís Patrão,0,0,0,0,1,16
Esporão Reserva 2015,DOC Alentejo,0,0,1,0,0,2015,White,0,1,0,"Antão Vaz, Arinto e Roupeiro",14,Esporão S.A.,1,0,0,0,12.5,15,13.75,16.0875,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão Reserva 2016,DOC Alentejo,0,0,1,0,0,2016,White,0,1,0,"Antão Vaz, Arinto e Roupeiro",13.5,Esporão S.A.,1,0,0,0,12.5,15,13.75,16.0875,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão Verdelho 2009,Regional Alentejo,1,0,0,0,0,2009,White,0,1,0,Verdelho,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão Verdelho 2013,Regional Alentejo,1,0,0,0,0,2013,White,0,1,0,Verdelho,13.5,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,16
Esporão Verdelho 2017,DOC Alentejo,0,0,1,0,0,2017,White,0,1,0,Verdelho,14,Esporão S.A.,1,0,0,0,10,12.5,11.25,13.1625,David Baverstock e Sandra Alves,0,0,0,1,0,16
Fernando Soares Franco 2007,Regional Península de Setúbal,0,0,0,1,0,2007,Red,1,0,0,"Syrah, Trincadeira e Tannat",13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,20,25,22.5,26.325,Domingos Soares Franco,1,0,0,0,0,16
João Portugal Ramos Aragonês 2005,Regional Alentejo,1,0,0,0,0,2005,Red,1,0,0,Aragonês,14.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,10,12.5,11.25,13.1625,João Portugal Ramos,0,1,0,0,0,16
João Portugal Ramos Syrah 2005,Regional Alentejo,1,0,0,0,0,2005,Red,1,0,0,Syrah,14.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,7.5,10,8.75,10.2375,João Portugal Ramos,0,1,0,0,0,16
João Portugal Ramos Tinta Caiada 2004,Regional Alentejo,1,0,0,0,0,2004,Red,1,0,0,Tinta Caiada,14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,7.5,10,8.75,10.2375,João Portugal Ramos,0,1,0,0,0,16
José de Sousa 2001,Regional Alentejo,1,0,0,0,0,2001,Red,1,0,0,"Trincadeira, Aragonês e Grand Noir",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,16
José de Sousa Mayor 2000,Regional Alentejo,1,0,0,0,0,2000,Red,1,0,0,"Trincadeira, Aragonez e Grand Noir",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,15,20,17.5,20.475,Domingos Soares Franco,1,0,0,0,0,16
Marquês de Borba 2011,DOC Alentejo,0,0,1,0,0,2011,Red,1,0,0,"Alicante Bouschet, Aragonez, Touriga Nacional, Syrah e Cabernet Sauvignon",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,16
Marquês de Borba 2013,DOC Alentejo,0,0,1,0,0,2013,Red,1,0,0,"Alicante Bouschet, Aragonez, Trincadeira e Touriga Nacional",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,4,7.5,5.75,6.7275,João Portugal Ramos,0,1,0,0,0,16
Marquês de Borba Vinhas Velhas 2016,DOC Alentejo,0,0,1,0,0,2016,Red,1,0,0,"Vinhas Velhas, Alicante Bouschet, Aragonez, Castelão e Syrah",14.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,10,12.5,11.25,13.1625,João Portugal Ramos,0,1,0,0,0,16
Marquês de Borba Vinhas Velhas 2017,DOC Alentejo,0,0,1,0,0,2017,White,0,1,0,"Vinhas Velhas, Alvarinho, Antão Vaz, Arinto e Roupeiro",12.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,7.5,10,8.75,10.2375,João Portugal Ramos,0,1,0,0,0,16
Assobio 2009,DOC Douro,0,1,0,0,0,2009,Red,1,0,0,"Touriga Nacional, Tinta Roriz e Touriga Franca",13.5,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Luís Patrão,0,0,0,0,1,15.5
